,listing_id,year,comments,id,lat_lon,price,latitude,longitude
21286,24228125,2020,121,24228125,"19.43291,-99.16669",884.5,19.43291,-99.16669
21291,24233674,2020,5,24233674,"19.45656,-99.06792",1400.0,19.45656,-99.06792
21297,24233882,2020,4,24233882,"['19.4816,-99.12555' '19.48169,-99.12698']",490.0,19.4816,-99.12555
21302,24241999,2020,24,24241999,"19.43121,-99.13765",2227.0,19.43121,-99.13765
21308,24248336,2020,25,24248336,"19.44274,-99.20111",2374.0,19.44274,-99.20111
21313,24248899,2020,114,24248899,"19.42777,-99.16348",965.5,19.42777,-99.16348
21317,24249237,2020,85,24249237,"19.42777,-99.16348",1078.0,19.42777,-99.16348
21321,24249793,2020,10,24249793,"19.39868,-99.14815",254.0,19.39868,-99.14815
21324,24249937,2020,3,24249937,"19.33486,-99.21396",285.0,19.33486,-99.21396
21327,24256220,2020,14,24256220,"19.29492,-99.04021",600.0,19.29492,-99.04021
21330,24263411,2020,16,24263411,"19.43902,-99.14187",700.0,19.43902,-99.14187
21335,24271886,2020,2,24271886,"19.44661,-99.18697",528.0,19.44661,-99.18697
21342,24281512,2020,1,24281512,"19.43331,-99.16868",300.0,19.43331,-99.16868
21345,24285131,2020,66,24285131,"19.42276,-99.15432",977.5,19.42276,-99.15432
21352,24286271,2020,50,24286271,"19.42117,-99.15417",536.0,19.42117,-99.15417
21356,24287835,2020,10,24287835,"19.41526,-99.17213",1662.0,19.41526,-99.17213
21361,24290095,2020,21,24290095,"19.43217,-99.1898",803.0,19.43217,-99.1898
21365,24290581,2020,14,24290581,"19.43238,-99.1917",807.5,19.43238,-99.1917
21372,24300835,2020,1,24300835,"19.43643,-99.1851",480.0,19.43643,-99.1851
21375,24301263,2020,1,24301263,"19.3891,-99.13491",340.0,19.3891,-99.13491
21382,24307471,2020,4,24307471,"['19.43823,-99.14815' '19.43914,-99.1477']",950.0,19.43823,-99.14815
21386,24310782,2020,5,24310782,"19.42327,-99.15808",698.0,19.42327,-99.15808
21389,24310849,2020,6,24310849,"19.41301,-99.17549",1000.0,19.41301,-99.17549
21393,24310926,2020,50,24310926,"['19.41641,-99.17711' '19.41666,-99.1786']",2419.0,19.41641,-99.17711
21397,24313652,2020,12,24313652,"19.466,-99.1381",490.0,19.466,-99.1381
21400,24317411,2020,72,24317411,"19.41609,-99.17462",545.0,19.41609,-99.17462
21404,24323743,2020,24,24323743,"['19.38668,-99.09875' '19.38787,-99.10025']",210.0,19.38668,-99.09875
21407,24325493,2020,4,24325493,"19.42758,-99.17436",500.0,19.42758,-99.17436
21411,24326911,2020,4,24326911,"19.42312,-99.17316",815.5,19.42312,-99.17316
21414,24332577,2020,20,24332577,"19.46451,-99.18661",382.0,19.46451,-99.18661
21418,24334016,2020,8,24334016,"19.43483,-99.09007",843.0,19.43483,-99.09007
21422,24334638,2020,18,24334638,"19.49287,-99.14891",890.0,19.49287,-99.14891
21425,24335209,2020,8,24335209,"['19.35668,-99.28735' '19.35695,-99.28634']",520.5,19.35668,-99.28735
21429,24335870,2020,14,24335870,"['19.42114,-99.16634' '19.42116,-99.16642']",837.5,19.42114,-99.16634
21433,24336406,2020,4,24336406,"19.50042,-99.12919",350.0,19.50042,-99.12919
21437,24336878,2020,146,24336878,"19.42094,-99.16576",1036.5,19.42094,-99.16576
21441,24337164,2020,66,24337164,"19.42094,-99.16576",1039.5,19.42094,-99.16576
21445,24343702,2020,18,24343702,"['19.41802,-99.17606' '19.42016,-99.17585']",1063.0,19.41802,-99.17606
21449,24353127,2020,16,24353127,"19.42268,-99.08798",876.0,19.42268,-99.08798
21453,24354853,2020,18,24354853,"['19.43537,-99.1469' '19.43549,-99.14644']",1543.5,19.43537,-99.1469
21458,24355592,2020,32,24355592,"19.42736,-99.1521",643.0,19.42736,-99.1521
21462,24356417,2020,33,24356417,"['19.40426,-99.17488' '19.40433,-99.17463']",787.0,19.40426,-99.17488
21466,24357355,2020,8,24357355,"19.43369,-99.14959",489.5,19.43369,-99.14959
21471,24357754,2020,13,24357754,"['19.42854,-99.1911' '19.42995,-99.19269']",1626.5,19.42854,-99.1911
21475,24359336,2020,12,24359336,"['19.40145,-99.13807' '19.40206,-99.13858']",360.0,19.40145,-99.13807
21478,24361424,2020,2,24361424,"19.43003,-99.13166",300.0,19.43003,-99.13166
21481,24368924,2020,9,24368924,"19.43562,-99.13679",2670.0,19.43562,-99.13679
21484,24369561,2020,90,24369561,"19.42095,-99.16576",1205.5,19.42095,-99.16576
21490,24370434,2020,7,24370434,"19.43262,-99.13693",592.0,19.43262,-99.13693
21494,24371102,2020,22,24371102,"19.41893,-99.15014",356.0,19.41893,-99.15014
21501,24373988,2020,4,24373988,"['19.29091,-99.12366' '19.29116,-99.12425']",210.0,19.29091,-99.12366
21506,24374918,2020,140,24374918,"19.44993,-99.16143",1830.5,19.44993,-99.16143
21510,24378193,2020,7,24378193,"19.40978,-99.17352",824.0,19.40978,-99.17352
21513,24378270,2020,6,24378270,"['19.34959,-99.15783' '19.35145,-99.15579']",693.0,19.34959,-99.15783
21517,24378300,2020,2,24378300,"19.41973,-99.05638",280.0,19.41973,-99.05638
21520,24380230,2020,36,24380230,"['19.35006,-99.15725' '19.35128,-99.1578']",650.0,19.35006,-99.15725
21524,24391733,2020,3,24391733,"19.43737,-99.18746",2231.0,19.43737,-99.18746
21527,24392379,2020,24,24392379,"19.41722,-99.16151",990.5,19.41722,-99.16151
21531,24393002,2020,12,24393002,"19.4115,-99.17551",1450.0,19.4115,-99.17551
21535,24393224,2020,34,24393224,"['19.41557,-99.16119' '19.41579,-99.15949']",991.0,19.41557,-99.16119
21540,24396459,2020,13,24396459,"19.41827,-99.0847",450.0,19.41827,-99.0847
21543,24404034,2020,4,24404034,"['19.40095,-99.16184' '19.40214,-99.16187']",1939.0,19.40095,-99.16184
21547,24410501,2020,24,24410501,"19.43811,-99.11916",254.0,19.43811,-99.11916
21550,24413331,2020,28,24413331,"19.39935,-99.14019",553.0,19.39935,-99.14019
21554,24423852,2020,218,24423852,"['19.34048,-99.15625' '19.34252,-99.15675']",445.0,19.34048,-99.15625
21560,24425883,2020,22,24425883,"19.44017,-99.15264",482.0,19.44017,-99.15264
21565,24432306,2020,1,24432306,"19.45117,-99.18074",280.0,19.45117,-99.18074
21569,24433445,2020,8,24433445,"['19.41571,-99.17683' '19.41743,-99.17741']",311.0,19.41571,-99.17683
21575,24445827,2020,2,24445827,"19.46463,-99.1319",240.0,19.46463,-99.1319
21578,24450990,2020,10,24450990,"['19.41075,-99.16625' '19.41084,-99.16647']",450.0,19.41075,-99.16625
21589,24463916,2020,130,24463916,"['19.43919,-99.15386' '19.44041,-99.15395']",427.5,19.43919,-99.15386
21593,24466072,2020,2,24466072,"19.38139,-99.17419",800.0,19.38139,-99.17419
21596,24477475,2020,4,24477475,"19.41072,-99.18006",253.0,19.41072,-99.18006
21601,24479102,2020,21,24479102,"19.42294,-99.15716",1538.0,19.42294,-99.15716
21605,24489058,2020,22,24489058,"19.42602,-99.16573",917.5,19.42602,-99.16573
21610,24494416,2020,38,24494416,"19.42571,-99.15439",1257.0,19.42571,-99.15439
21616,24497038,2020,18,24497038,"19.41972,-99.17649",570.0,19.41972,-99.17649
21622,24499102,2020,2,24499102,"19.30661,-99.139",1350.0,19.30661,-99.139
21627,24499878,2020,14,24499878,"['19.4074,-99.17458' '19.40884,-99.17528']",1448.0,19.4074,-99.17458
21630,24512566,2020,24,24512566,"19.4444,-99.14131",575.0,19.4444,-99.14131
21634,24522046,2020,14,24522046,"['19.37659,-99.17125' '19.37754,-99.17083']",584.0,19.37659,-99.17125
21636,24525036,2020,1,24525036,"19.40807,-99.17003",1499.0,19.40807,-99.17003
21638,24526138,2020,6,24526138,"19.36251,-99.28485",1491.0,19.36251,-99.28485
21641,24526283,2020,18,24526283,"19.37555,-99.16085",1272.0,19.37555,-99.16085
21650,24540582,2020,8,24540582,"['19.34155,-99.18174' '19.34287,-99.18163']",800.0,19.34155,-99.18174
21654,24541094,2020,2,24541094,"19.34969,-99.30584",1581.0,19.34969,-99.30584
21657,24542010,2020,1,24542010,"19.43651,-99.20046",1423.0,19.43651,-99.20046
21660,24542878,2020,20,24542878,"['19.40482,-99.16118' '19.406,-99.1591']",787.5,19.40482,-99.16118
21664,24544042,2020,4,24544042,"19.36679,-99.17567",470.0,19.36679,-99.17567
21668,24545328,2020,14,24545328,"19.38992,-99.17907",1300.0,19.38992,-99.17907
21672,24551240,2020,2,24551240,"['19.32273,-99.15397' '19.32303,-99.1542']",210.0,19.32273,-99.15397
21676,24559528,2020,8,24559528,"19.42548,-99.15357",810.0,19.42548,-99.15357
21680,24562429,2020,12,24562429,"19.42843,-99.16533",842.0,19.42843,-99.16533
21684,24581749,2020,24,24581749,"19.45081,-99.13502",453.0,19.45081,-99.13502
21688,24583070,2020,26,24583070,"19.41923,-99.17603",1235.0,19.41923,-99.17603
21692,24583102,2020,2,24583102,"['19.36461,-99.21873' '19.36586,-99.21827']",1500.0,19.36461,-99.21873
21693,24594669,2020,1,24594669,"19.42094,-99.16078",1073.0,19.42094,-99.16078
21697,24597328,2020,4,24597328,"['19.4185,-99.17752' '19.41904,-99.17596']",3720.5,19.4185,-99.17752
21701,24599385,2020,16,24599385,"['19.42489,-99.17575' '19.42691,-99.1754']",959.5,19.42489,-99.17575
21706,24603985,2020,46,24603985,"19.29583,-99.10909",348.0,19.29583,-99.10909
21710,24605473,2020,1,24605473,"19.28938,-99.12958",210.0,19.28938,-99.12958
21715,24606140,2020,22,24606140,"19.40891,-99.16725",929.0,19.40891,-99.16725
21721,24607433,2020,22,24607433,"19.41915,-99.14252",724.0,19.41915,-99.14252
